Date,Station,Value,lat,lng
2023-10-19,010 WEDDING,18,52.54291,13.34926
2023-10-20,010 WEDDING,11,52.54291,13.34926
2023-10-21,010 WEDDING,22,52.54291,13.34926
2023-10-22,010 WEDDING,18,52.54291,13.34926
2023-10-23,010 WEDDING,29,52.54291,13.34926
2023-10-24,010 WEDDING,25,52.54291,13.34926
2023-10-25,010 WEDDING,27,52.54291,13.34926
2023-10-26,010 WEDDING,15,52.54291,13.34926
2023-10-27,010 WEDDING,16,52.54291,13.34926
2023-10-28,010 WEDDING,22,52.54291,13.34926
2023-10-29,010 WEDDING,15,52.54291,13.34926
2023-10-30,010 WEDDING,21,52.54291,13.34926
2023-10-31,010 WEDDING,19,52.54291,13.34926
2023-11-01,010 WEDDING,22,52.54291,13.34926
2023-11-02,010 WEDDING,21,52.54291,13.34926
2023-11-03,010 WEDDING,24,52.54291,13.34926
2023-11-04,010 WEDDING,14,52.54291,13.34926
2023-11-05,010 WEDDING,12,52.54291,13.34926
2023-11-06,010 WEDDING,16,52.54291,13.34926
2023-11-07,010 WEDDING,19,52.54291,13.34926
2023-11-08,010 WEDDING,18,52.54291,13.34926
2023-11-09,010 WEDDING,20,52.54291,13.34926
2023-11-10,010 WEDDING,22,52.54291,13.34926
2023-11-11,010 WEDDING,19,52.54291,13.34926
2023-11-12,010 WEDDING,14,52.54291,13.34926
2023-11-13,010 WEDDING,25,52.54291,13.34926
2023-11-14,010 WEDDING,13,52.54291,13.34926
2023-11-15,010 WEDDING,25,52.54291,13.34926
2023-11-16,010 WEDDING,21,52.54291,13.34926
2023-11-17,010 WEDDING,12,52.54291,13.34926
2023-11-18,010 WEDDING,15,52.54291,13.34926
2023-11-19,010 WEDDING,12,52.54291,13.34926
2023-11-20,010 WEDDING,19,52.54291,13.34926
2023-11-21,010 WEDDING,10,52.54291,13.34926
2023-11-22,010 WEDDING,22,52.54291,13.34926
2023-11-23,010 WEDDING,12,52.54291,13.34926
2023-11-24,010 WEDDING,10,52.54291,13.34926
2023-11-25,010 WEDDING,17,52.54291,13.34926
2023-11-26,010 WEDDING,15,52.54291,13.34926
2023-11-27,010 WEDDING,29,52.54291,13.34926
2023-11-28,010 WEDDING,21,52.54291,13.34926
2023-11-29,010 WEDDING,22,52.54291,13.34926
2023-11-30,010 WEDDING,40,52.54291,13.34926
2023-12-01,010 WEDDING,33,52.54291,13.34926
2023-12-02,010 WEDDING,20,52.54291,13.34926
2023-12-03,010 WEDDING,22,52.54291,13.34926
2023-12-04,010 WEDDING,33,52.54291,13.34926
2023-12-05,010 WEDDING,30,52.54291,13.34926
2023-12-06,010 WEDDING,32,52.54291,13.34926
2023-12-07,010 WEDDING,27,52.54291,13.34926
2023-12-08,010 WEDDING,27,52.54291,13.34926
2023-12-09,010 WEDDING,25,52.54291,13.34926
2023-12-10,010 WEDDING,17,52.54291,13.34926
2023-12-11,010 WEDDING,23,52.54291,13.34926
2023-12-12,010 WEDDING,34,52.54291,13.34926
2023-12-13,010 WEDDING,22,52.54291,13.34926
